generated_qwen3_4b_pdapt_slerp
"{""question1"": ""Quelle est la principale différence entre la sanction et l'indemnisation dans le cadre de la responsabilité des professionnels de santé?"", ""option_a1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation peut être obtenue par les établissements de santé."", ""option_b1"": ""La sanction est une mesure pénale, tandis que l'indemnisation est une mesure civile."", ""option_c1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation est réservée aux établissements de santé."", ""option_d1"": ""La sanction est une mesure disciplinaire, tandis que l'indemnisation est une mesure pénale."", ""correct_option1"": ""b"", ""question2"": ""Quel type de dommage peut être indemnisé en cas de défaut d'information?"", ""option_a2"": ""Une atteinte à l'intégrité physique uniquement."", ""option_b2"": ""Une perte de chance de survie ou de guérison."", ""option_c2"": ""Une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""option_d2"": ""Une perte de chance de survie ou de guérison et une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""correct_option2"": ""d""}"
"{""question1"": ""Quel type de responsabilité civile engagent les professionnels exerçant à titre libéral et les établissements de santé privés?"", ""option_a1"": ""Responsabilité civile devant les juridictions de l’ordre judiciaire"", ""option_b1"": ""Responsabilité civile devant les juridictions de l’ordre administratif"", ""option_c1"": ""Responsabilité civile devant les juridictions de l’ordre disciplinaire"", ""option_d1"": ""Responsabilité civile devant les juridictions de l’ordre pénal"", ""correct_option1"": ""a"", ""question2"": ""Quel est le régime de responsabilité des médecins salariés d’établissements, services ou organismes privés?"", ""option_a2"": ""Responsabilité civile personnelle"", ""option_b2"": ""Responsabilité civile collective"", ""option_c2"": ""Responsabilité civile du commettant"", ""option_d2"": ""Responsabilité civile du salarié"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la responsabilité engagée par un médecin hospitalier pour les actes qu'il réalise?"", ""option_a1"": ""La responsabilité civile personnelle du médecin"", ""option_b1"": ""La responsabilité pénale du médecin"", ""option_c1"": ""La responsabilité administrative de l'établissement public de santé"", ""option_d1"": ""La responsabilité disciplinaire du médecin"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la typologie des fautes susceptibles d'engager la responsabilité du service public selon la jurisprudence administrative?"", ""option_a2"": ""La faute de service et la faute personnelle"", ""option_b2"": ""La faute de service et la faute dans l'organisation du service"", ""option_c2"": ""La faute dans l'organisation du service et la faute personnelle"", ""option_d2"": ""La faute de service et la faute dans le fonctionnement du service"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la principale caractéristique radiographique d'un œdème aigu du poumon (OAP) d'origine hémodynamique?"", ""option_a1"": ""Pneumonie diffuse bilatérale"", ""option_b1"": ""Épanchement pleural"", ""option_c1"": ""Épaississement des parois alvéolaires avec des opacités en « rayons de miel »"", ""option_d1"": ""Nodules pulmonaires"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la cause la plus fréquente d'un OAP d'origine hémodynamique?"", ""option_a2"": ""Insuffisance cardiaque gauche"", ""option_b2"": ""Pneumothorax"", ""option_c2"": ""Pneumonie"", ""option_d2"": ""Asbestose"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la principale cause de l'insuffisance cardiaque à fraction d’éjection préservée?"", ""option_a1"": ""Cardiopathie ischémique"", ""option_b1"": ""Hypertension artérielle"", ""option_c1"": ""Valvulopathie"", ""option_d1"": ""Cardiomyopathie dilatée"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la cause la plus fréquente d'insuffisance cardiaque droite?"", ""option_a2"": ""Insuffisance cardiaque gauche"", ""option_b2"": ""Insuffisance respiratoire chronique"", ""option_c2"": ""Hypertension artérielle pulmonaire"", ""option_d2"": ""Dysplasie arythmogène ventriculaire droite"", ""correct_option2"": ""a""}"
"{""question1"": ""Quels sont les signes cliniques principaux d'un OAP cardiogénique?"", ""option_a1"": ""Dyspnée, tachycardie, galop gauche, râles crépitants"", ""option_b1"": ""Dyspnée, tachycardie, galop gauche, râles crépitants, sueurs profuses"", ""option_c1"": ""Dyspnée, tachycardie, galop gauche, râles crépitants, sueurs profuses, cyanose"", ""option_d1"": ""Dyspnée, tachycardie, galop gauche, râles crépitants, sueurs profuses, cyanose, troubles de conscience"", ""correct_option1"": ""c"", ""question2"": ""Quels sont les signes de gravité d'un OAP cardiogénique?"", ""option_a2"": ""Fréquence respiratoire > 30/minute, tachycardie > 150/minute, pression artérielle systolique < 90 mmHg"", ""option_b2"": ""Fréquence respiratoire > 30/minute, tachycardie > 150/minute, pression artérielle systolique < 90 mmHg, troubles de conscience"", ""option_c2"": ""Fréquence respiratoire > 30/minute, tachycardie > 150/minute, pression artérielle systolique < 90 mmHg, troubles de conscience, oligurie"", ""option_d2"": ""Fréquence respiratoire > 30/minute, tachycardie > 150/minute, pression artérielle systolique < 90 mmHg, troubles de conscience, oligurie, marbrures"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le premier traitement symptomatique à prescrire en cas d'insuffisance cardiaque aiguë (OAP) cardiogénique?"", ""option_a1"": ""Anticoagulant"", ""option_b1"": ""Diurétique de l'anse"", ""option_c1"": ""Dérivé nitré"", ""option_d1"": ""Oxygénothérapie"", ""correct_option1"": ""b"", ""question2"": ""Quel est le traitement de fond à introduire à distance de l'épisode d'OAP pour prévenir les récidives?"", ""option_a2"": ""Anticoagulant"", ""option_b2"": ""Bêtabloquant"", ""option_c2"": ""Dérivé nitré"", ""option_d2"": ""Oxygénothérapie"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le principal objectif du régime pauvre en sel pour les patients atteints d'insuffisance cardiaque?"", ""option_a1"": ""Augmenter la consommation de sel pour améliorer l'appétit"", ""option_b1"": ""Réduire la consommation de sel pour diminuer la rétention d'eau"", ""option_c1"": ""Éliminer complètement tous les aliments contenant du sel"", ""option_d1"": ""Augmenter la consommation de sel pour améliorer la pression artérielle"", ""correct_option1"": ""b"", ""question2"": ""Quelle mesure est essentielle pour la réinsertion professionnelle des patients atteints d'insuffisance cardiaque?"", ""option_a2"": ""Poursuivre une activité physique intense"", ""option_b2"": ""Éviter les efforts physiques importants et les horaires décalés"", ""option_c2"": ""Travailler dans des environnements à risque comme le bâtiment"", ""option_d2"": ""Continuer à fumer et à consommer de l'alcool"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le traitement de référence en première intention chez les patients en insuffisance cardiaque stable?"", ""option_a1"": ""Diurétiques de l’anse"", ""option_b1"": ""Inhibiteurs de l'enzyme de conversion (IEC)"", ""option_c1"": ""Bêtabloquants"", ""option_d1"": ""Antagonistes des récepteurs de l’aldostérone"", ""correct_option1"": ""c"", ""question2"": ""Quel est le principal effet des glifozines dans le traitement de l'insuffisance cardiaque à fraction d'éjection altérée?"", ""option_a2"": ""Amélioration de la fonction rénale"", ""option_b2"": ""Réduction de la postcharge ventriculaire"", ""option_c2"": ""Augmentation de la pression artérielle"", ""option_d2"": ""Diminution de la kaliémie"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelles sont les principales causes de décès chez les patients atteints d'insuffisance cardiaque chronique réfractaire?"", ""option_a1"": ""Insuffisance cardiaque chronique réfractaire, cachexie cardiaque, choc cardiogénique menant à la défaillance multiviscérale"", ""option_b1"": ""Insuffisance rénale terminale, syndrome cardiorénal"", ""option_c1"": ""Episodes d'insuffisance cardiaque aiguë, mort subite secondaire à des troubles du rythme ventriculaire"", ""option_d1"": ""Complications thromboemboliques, embolies systémiques (AVC), embolie pulmonaire (épisodes d'alitement)"", ""correct_option1"": ""a"", ""question2"": ""Quelles sont les principales complications thromboemboliques associées à l'insuffisance cardiaque?"", ""option_a2"": ""Insuffisance cardiaque chronique réfractaire, cachexie cardiaque, choc cardiogénique menant à la défaillance multiviscérale"", ""option_b2"": ""Insuffisance rénale terminale, syndrome cardiorénal"", ""option_c2"": ""Episodes d'insuffisance cardiaque aiguë, mort subite secondaire à des troubles du rythme ventriculaire"", ""option_d2"": ""Complications thromboemboliques, embolies systémiques (AVC), embolie pulmonaire (épisodes d'alitement)"", ""correct_option2"": ""d""}"
"{""question1"": ""Quels sont les signes cliniques qui évoquent un choc cardiogénique lors de l'examen clinique?"", ""option_a1"": ""Fever, tachycardia, and hypotension"", ""option_b1"": ""Hypotension, hypoperfusion périphérique, and oligurie"", ""option_c1"": ""Tachypnea, cyanosis, and confusion"", ""option_d1"": ""Bradycardia, hypertension, and diaphoresis"", ""correct_option1"": ""b"", ""question2"": ""Quels sont les critères hémodynamiques pour confirmer un choc cardiogénique?"", ""option_a2"": ""Systolic blood pressure > 90 mmHg, prolonged hypotension, and oliguria"", ""option_b2"": ""Systolic blood pressure < 90 mmHg, prolonged hypotension, and oliguria"", ""option_c2"": ""Systolic blood pressure < 90 mmHg, prolonged hypotension, and tachycardia"", ""option_d2"": ""Systolic blood pressure < 90 mmHg, prolonged hypotension, and bradycardia"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le premier traitement à administrer en cas de choc cardiogénique?"", ""option_a1"": ""Perfusion de dobutamine"", ""option_b1"": ""Administration de noradrénaline"", ""option_c1"": ""Remplissage vasculaire"", ""option_d1"": ""Traitement de l'étiologie"", ""correct_option1"": ""a"", ""question2"": ""Quel est le traitement de deuxième ligne en cas de choc cardiogénique?"", ""option_a2"": ""Perfusion de dobutamine"", ""option_b2"": ""Administration de noradrénaline"", ""option_c2"": ""Remplissage vasculaire"", ""option_d2"": ""Traitement de l'étiologie"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la définition d'une péricardite aiguë?"", ""option_a1"": ""Inflammation chronique des feuillets du péricarde"", ""option_b1"": ""Inflammation aiguë des feuillets du péricarde"", ""option_c1"": ""Inflammation aiguë des valves cardiaques"", ""option_d1"": ""Inflammation aiguë des artères coronaires"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la caractéristique principale d'une péricardite aiguë?"", ""option_a2"": ""Absence d'épanchement péricardique"", ""option_b2"": ""Présence d'un épanchement péricardique ou non"", ""option_c2"": ""Présence d'une inflammation chronique"", ""option_d2"": ""Présence d'une inflammation des valves cardiaques"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les signes généraux d'une péricardite aiguë?"", ""option_a1"": ""Fièvre et myalgies"", ""option_b1"": ""Fièvre et asthénie"", ""option_c1"": ""Myalgies et asthénie"", ""option_d1"": ""Fièvre et toux"", ""correct_option1"": ""a"", ""question2"": ""Quels sont les signes fonctionnels d'une péricardite aiguë?"", ""option_a2"": ""Douleur thoracique et dyspnée"", ""option_b2"": ""Douleur thoracique et dysphonie"", ""option_c2"": ""Douleur thoracique et hoquet"", ""option_d2"": ""Douleur thoracique et toux sèche"", ""correct_option2"": ""d""}"
"{""question1"": ""Quels sont les signes cliniques d'une péricardite aiguë qui indiquent une situation d'urgence potentielle?"", ""option_a1"": ""Tachycardie et PAS > 90 mmHg"", ""option_b1"": ""Turgescence jugulaire et reflux hépatojugulaire"", ""option_c1"": ""Fièvre < 38°C"", ""option_d1"": ""Pouls paradoxal < 10 mmHg à l'inspiration"", ""correct_option1"": ""b"", ""question2"": ""Quel est le critère biologique qui peut suggérer une myocardite associée à une péricardite aiguë?"", ""option_a2"": ""Diminution de la troponine"", ""option_b2"": ""Elevation de la créatine kinase"", ""option_c2"": ""Elevation de la troponine"", ""option_d2"": ""Diminution de la protéine C réactive"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels sont les signes précoces d'un électrocardiogramme (ECG) dans une péricardite aiguë?"", ""option_a1"": ""Sous décalage du PQ, Tachycardie sinusale"", ""option_b1"": ""Ondes T négatives la première semaine"", ""option_c1"": ""Microvoltage (amplitude QRS < 5 mm et < 10 mm respectivement dans les dérivations périphériques et précordiales)"", ""option_d1"": ""Normalisation au cours du 1er mois"", ""correct_option1"": ""a"", ""question2"": ""Quels sont les marqueurs de la nécrose myocardique à rechercher systématiquement dans une péricardite aiguë?"", ""option_a2"": ""CRP"", ""option_b2"": ""Troponine"", ""option_c2"": ""Urea"", ""option_d2"": ""Hémocultures"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est l'indication principale d'une ponction péricardique par voie percutanée ou chirurgicale?"", ""option_a1"": ""Diagnostic étiologique d'un épanchement péricardique"", ""option_b1"": ""Traitement de la péricardite aiguë"", ""option_c1"": ""Réduction du volume cardiaque"", ""option_d1"": ""Prévention de la tamponnade péricardique"", ""correct_option1"": ""a"", ""question2"": ""Dans quel cas une ponction péricardique par voie percutanée est-elle privilégiée?"", ""option_a2"": ""Suspicion d'épanchement purulent"", ""option_b2"": ""Patient stable avec épanchement abondant chronique"", ""option_c2"": ""Patient instable avec tamponnade ou retentissement hémodynamique"", ""option_d2"": ""Pose d'un drain de plus gros calibre"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le principal résultat de la radiographie thoracique dans une péricardite aiguë?"", ""option_a1"": ""Epanchement pleural"", ""option_b1"": ""Epanchement péricardique"", ""option_c1"": ""Epaississement péricardique"", ""option_d1"": ""Normale le plus souvent"", ""correct_option1"": ""d"", ""question2"": ""Quel est le principal résultat de l'échocardiographie dans une péricardite aiguë avec épanchement péricardique?"", ""option_a2"": ""Absence d'épanchement péricardique"", ""option_b2"": ""Epaississement péricardique"", ""option_c2"": ""Epanchement péricardique avec décollement des deux feuillets péricardiques"", ""option_d2"": ""Normale le plus souvent"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la caractéristique principale de l'ECG d'une péricardite aiguë?"", ""option_a1"": ""Sus décalage de ST, diffus, non systématisé, concave vers le haut, sans miroir ni onde Q ET sous décalage PQ"", ""option_b1"": ""Onde Q profonde et large dans les dérivations précordiales"", ""option_c1"": ""Sus décalage de ST, systématisé, concave vers le bas, avec miroir et onde Q"", ""option_d1"": ""Onde T inversée dans toutes les dérivations"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la différence entre l'ECG d'une péricardite aiguë et celui d'un infarctus du myocarde?"", ""option_a2"": ""Sus décalage de ST, diffus, non systématisé, concave vers le haut, sans miroir ni onde Q ET sous décalage PQ"", ""option_b2"": ""Onde Q profonde et large dans les dérivations précordiales"", ""option_c2"": ""Sus décalage de ST, systématisé, concave vers le bas, avec miroir et onde Q"", ""option_d2"": ""Onde T inversée dans toutes les dérivations"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les facteurs prédictifs de tamponnade péricardique chez un patient atteint de péricardite aiguë?"", ""option_a1"": ""Fièvre < 38°C"", ""option_b1"": ""Symptômes présents depuis moins de 1 semaine"", ""option_c1"": ""Fièvre > 38°C, symptômes présents depuis plusieurs semaines, épanchement péricardique abondant (>20mm), patient immunodéprimé, patient sous anticoagulant oral, après un traumatisme thoracique"", ""option_d1"": ""Absence de fièvre, symptômes présents depuis plusieurs semaines, épanchement péricardique abondant (>20mm), patient immunodéprimé, patient sous anticoagulant oral, après un traumatisme thoracique"", ""correct_option1"": ""c"", ""question2"": ""Quelles sont les complications nécessitant une hospitalisation chez un patient atteint de péricardite aiguë?"", ""option_a2"": ""Myocardite associée (élévation troponine)"", ""option_b2"": ""Épanchement péricardique abondant (>20mm)"", ""option_c2"": ""Tamponnade, résistance au traitement anti-inflammatoire (AINS) bien conduit depuis 7 jours"", ""option_d2"": ""Fièvre > 38°C, symptômes présents depuis plusieurs semaines, épanchement péricardique abondant (>20mm), patient immunodéprimé, patient sous anticoagulant oral, après un traumatisme thoracique"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la cause la plus fréquente de péricardite aiguë?"", ""option_a1"": ""Bactérienne"", ""option_b1"": ""Virale"", ""option_c1"": ""Auto-immune"", ""option_d1"": ""Tumorale"", ""correct_option1"": ""b"", ""question2"": ""Dans quel groupe de personnes la péricardite aiguë virale est-elle généralement observée?"", ""option_a2"": ""Enfants"", ""option_b2"": ""Personnes âgées"", ""option_c2"": ""Jeunes adultes, hommes"", ""option_d2"": ""Femmes enceintes"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la principale étiologie de la péricardite précoce au cours d'un infarctus du myocarde?"", ""option_a1"": ""Infection virale"", ""option_b1"": ""Hémopéricarde par effusion"", ""option_c1"": ""Rupture myocardique"", ""option_d1"": ""Syndrome de Dressler"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la période de survenue typique du syndrome de Dressler après un infarctus du myocarde?"", ""option_a2"": ""J1 – J3"", ""option_b2"": ""J4 – J7"", ""option_c2"": ""2 – 16e semaine"", ""option_d2"": ""Plus de 16 semaines"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la principale caractéristique de la péricardite bactérienne purulente?"", ""option_a1"": ""Elle est rare et non grave"", ""option_b1"": ""Elle est caractérisée par une forte fièvre >39°C"", ""option_c1"": ""Elle est causée par des virus"", ""option_d1"": ""Elle ne nécessite pas de traitement antibiotique"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la principale étiologie de la péricardite tuberculeuse?"", ""option_a2"": ""Cancer primitif péricardique"", ""option_b2"": ""Tuberculose"", ""option_c2"": ""Staphylocoque"", ""option_d2"": ""Pneumocoque"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le traitement de première intention pour une péricardite aiguë bénigne?"", ""option_a1"": ""Corticoïdes"", ""option_b1"": ""AINS (aspirine ou ibuprofène) et colchicine"", ""option_c1"": ""Antalgiques uniquement"", ""option_d1"": ""Antibiotiques"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la durée minimale recommandée du repos après une péricardite aiguë bénigne?"", ""option_a2"": ""1 mois"", ""option_b2"": ""2 mois"", ""option_c2"": ""3 mois"", ""option_d2"": ""6 mois"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelles sont les principales complications d'une péricardite aiguë?"", ""option_a1"": ""Épanchement péricardique abondant, tamponnade, myocardite, péricardite récidivante, péricardite chronique, péricardite constrictive"", ""option_b1"": ""Épanchement péricardique abondant, tamponnade, myocardite, péricardite récidivante, péricardite chronique, péricardite constrictive"", ""option_c1"": ""Épanchement péricardique abondant, tamponnade, myocardite, péricardite récidivante, péricardite chronique, péricardite constrictive"", ""option_d1"": ""Épanchement péricardique abondant, tamponnade, myocardite, péricardite récidivante, péricardite chronique, péricardite constrictive"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la complication la plus fréquente dans une péricardite aiguë virale bénigne?"", ""option_a2"": ""Épanchement péricardique abondant"", ""option_b2"": ""Tamponnade"", ""option_c2"": ""Myocardite"", ""option_d2"": ""Péricardite récidivante"", ""correct_option2"": ""d""}"
